#without weight
design.optF
       V1 V2 counter counter2
X       0  0       1    0.005
X.1     0 30       1    0.005
X.2     0 60       1    0.005
X.3    15  0       1    0.005
X.4    15 30       1    0.005
X.5    15 60       1    0.005
X.6    30  0      11    0.055
X.7    30 30       1    0.005
X.8    30 60       1    0.005
xnew    7  9      88    0.440
xnew.1  3  0      28    0.140
xnew.2  6  8       3    0.015
xnew.3 30 20       1    0.005
xnew.4  6  9       5    0.025
xnew.5 30 22       1    0.005
xnew.6 30 23       2    0.010
xnew.7 30 24       3    0.015
xnew.8 30 25      27    0.135
xnew.9 30 26      32    0.160


design.optF
        V1 V2 counter counter2
X        0  0       1    0.005
X.1      0 30       1    0.005
X.2      0 60       1    0.005
X.3     15  0       1    0.005
X.4     15 30       1    0.005
X.5     15 60       1    0.005
X.6     30  0      12    0.060
X.7     30 30       1    0.005
X.8     30 60       1    0.005
xnew     7  9      88    0.440
xnew.1   3  0      27    0.135
xnew.2  30 19       1    0.005
xnew.3   7  7       1    0.005
xnew.4  30 20       1    0.005
xnew.5   6  9       3    0.015
xnew.6  30 22       1    0.005
xnew.7   6  8       3    0.015
xnew.8  30 23       2    0.010
xnew.9  30 24       5    0.025
xnew.10 30 25      26    0.130
xnew.11 30 26      31    0.155

#with w for 500
design.optF
        V1 V2 counter counter2
X        0  0       1    0.002
X.1      0 30       1    0.002
X.2      0 60       1    0.002
X.3     15  0       1    0.002
X.4     15 30       1    0.002
X.5     15 60       1    0.002
X.6     30  0      28    0.056
X.7     30 30       1    0.002
X.8     30 60       1    0.002
xnew     7  9     231    0.462
xnew.1   3  0      67    0.134
xnew.2  30 19       1    0.002
xnew.3   7  7       1    0.002
xnew.4  30 20       1    0.002
xnew.5   6  9       3    0.006
xnew.6  30 22       1    0.002
xnew.7   6  8       3    0.006
xnew.8  30 23       2    0.004
xnew.9  30 24       5    0.010
xnew.10 30 25      27    0.054
xnew.11 30 26     131    0.262
