design.optF
        V1 V2 counter counter2
X        0  0       1    0.002
X.1      0 30       1    0.002
X.2      0 60       1    0.002
X.3     15  0       1    0.002
X.4     15 30       1    0.002
X.5     15 60       1    0.002
X.6     30  0      30    0.060
X.7     30 30       1    0.002
X.8     30 60       1    0.002
xnew     7  7       1    0.002
xnew.1   5  8       3    0.006
xnew.2   4  0       2    0.004
xnew.3  30 14       1    0.002
xnew.4   6  8       1    0.002
xnew.5  30 15       1    0.002
xnew.6   5  9       9    0.018
xnew.7  30 17       3    0.006
xnew.8   6 10      25    0.050
xnew.9   3  0      28    0.056
xnew.10 30 18       6    0.012
xnew.11 30 19      10    0.020
xnew.12  6  9       4    0.008
xnew.13  6 11     232    0.464
xnew.14 30 20      66    0.132
xnew.15 30 21      75    0.150
xnew.16  5 10       4    0.008
> 
