design.optF
               V1        V2 counter counter2
X        0.000000  0.000000       1   0.0005
X.1      0.000000 30.000000       1   0.0005
X.2      0.000000 60.000000       1   0.0005
X.3     15.000000  0.000000       1   0.0005
X.4     15.000000 30.000000       1   0.0005
X.5     15.000000 60.000000       1   0.0005
X.6     30.000000  0.000000     118   0.0590
X.7     30.000000 30.000000       1   0.0005
X.8     30.000000 60.000000       1   0.0005
xnew     7.260274  7.583643       1   0.0005
xnew.1   5.342466  8.252788       1   0.0005
xnew.2   3.698630  0.000000       1   0.0005
xnew.3  30.000000 13.605948       1   0.0005
xnew.4   5.616438  7.806691       1   0.0005
xnew.5   5.479452  8.475836       2   0.0010
xnew.6  30.000000 15.390335       1   0.0005
xnew.7   5.342466  8.921933       2   0.0010
xnew.8  30.000000 16.728625       2   0.0010
xnew.9   5.479452  9.814126       2   0.0010
xnew.10  3.287671  0.000000       4   0.0020
xnew.11  5.479452  9.368030       1   0.0005
xnew.12 30.000000 18.513011       3   0.0015
xnew.13 30.000000 18.736059       2   0.0010
xnew.14  5.479452  9.144981       3   0.0015
xnew.15  5.479452  8.921933       1   0.0005
xnew.16  5.342466  9.144981       1   0.0005
xnew.17 30.000000 17.174721       1   0.0005
xnew.18 30.000000 17.397770       1   0.0005
xnew.19  5.616438  9.591078       3   0.0015
xnew.20  5.479452  9.591078       1   0.0005
xnew.21  3.013699  0.000000       3   0.0015
xnew.22  5.616438  9.368030       1   0.0005
xnew.23 30.000000 19.182156       2   0.0010
xnew.24 30.000000 17.620818       1   0.0005
xnew.25  5.616438  9.814126       2   0.0010
xnew.26  5.616438 10.037175       3   0.0015
xnew.27 30.000000 18.959108       1   0.0005
xnew.28 30.000000 19.405204       2   0.0010
xnew.29  5.616438 10.483271       6   0.0030
xnew.30 30.000000 20.074349       2   0.0010
xnew.31  5.616438 10.260223       2   0.0010
xnew.32 30.000000 18.289963       1   0.0005
xnew.33  3.561644  0.000000       1   0.0005
xnew.34  5.753425 10.037175       1   0.0005
xnew.35  5.753425 10.260223       3   0.0015
xnew.36  5.753425 10.483271       3   0.0015
xnew.37 30.000000 19.628253       2   0.0010
xnew.38  5.753425 10.706320       1   0.0005
xnew.39 30.000000 19.851301       2   0.0010
xnew.40  5.616438 10.706320       6   0.0030
xnew.41 30.000000 20.297398       4   0.0020
xnew.42  5.479452 10.929368     387   0.1935
xnew.43  5.479452 10.706320      86   0.0430
xnew.44 30.000000 20.520446       8   0.0040
xnew.45 30.000000 20.966543      78   0.0390
xnew.46  3.150685  0.000000     111   0.0555
xnew.47 30.000000 20.743494      24   0.0120
xnew.48 30.000000 21.189591     325   0.1625
xnew.49  5.616438 10.929368       7   0.0035
xnew.50 30.000000 21.412639     171   0.0855
xnew.51  5.616438 11.152416     375   0.1875
xnew.52  5.479452 11.152416     227   0.1135
