design.optF
        V1 V2 counter counter2
X        0  0       1    0.002
X.1      0 30       1    0.002
X.2      0 60       1    0.002
X.3     15  0       1    0.002
X.4     15 30       1    0.002
X.5     15 60       1    0.002
X.6     30  0      30    0.060
X.7     30 30       1    0.002
X.8     30 60       1    0.002
xnew     1  0       1    0.002
xnew.1   9  6       1    0.002
xnew.2   7  0       1    0.002
xnew.3   7  6       1    0.002
xnew.4  30 18       2    0.004
xnew.5   7 14       2    0.004
xnew.6   5  0       3    0.006
xnew.7   7  9       1    0.002
xnew.8  30 19       8    0.016
xnew.9   7 15       2    0.004
xnew.10  6  0       2    0.004
xnew.11 30 24       2    0.004
xnew.12  8 15       1    0.002
xnew.13  8 14       1    0.002
xnew.14  7 12       1    0.002
xnew.15 30 22      21    0.042
xnew.16 30 16       2    0.004
xnew.17  7 13       3    0.006
xnew.18 30 15       1    0.002
xnew.19  4  0      18    0.036
xnew.20  6 10      12    0.024
xnew.21  6 13      17    0.034
xnew.22 30 20       8    0.016
xnew.23  6 12     163    0.326
xnew.24 30 23      74    0.148
xnew.25  6 11      14    0.028
xnew.26 30 21      11    0.022
xnew.27  6  9       1    0.002
xnew.28  3  0      97    0.194
